"Table S8 GO terms associated with the cluster-enriched genes of bc-Smart-seq2 single-cell RNA sequencing (related to Fig S5).","...2","...3","...4","...5","...6","...7","...8","...9","...10"
"Cluster2","GO:0072599","establishment of protein localization to endoplasmic reticulum","22/131","122/18670","3.4547955469742901E-25","2.1963862689889101E-22","1.7464900646677901E-22","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/RPS17/SEC61B","22"
"Cluster2","GO:0070972","protein localization to endoplasmic reticulum","23/131","147/18670","8.35443011893217E-25","4.2490631584889001E-22","3.3787074228355198E-22","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/BCAP31/RPS17/SEC61B","23"
"Cluster2","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","21/131","120/18670","8.7441533111764404E-24","3.7060636450536101E-21","2.9469330720648999E-21","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/RPS17","21"
"Cluster2","GO:0006413","translational initiation","24/131","193/18670","2.2084332921780899E-23","8.02292266001269E-21","6.3795494049234702E-21","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/EIF1/EIF4EBP1/RPS27A/RPS17/EIF4E","24"
"Cluster2","GO:0019083","viral transcription","23/131","177/18670","6.9821795096111796E-23","2.2194603116176499E-20","1.7648377418372499E-20","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/IFITM3/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/CCL4/RPS27A/RPS17","23"
"Cluster2","GO:0019080","viral gene expression","23/131","191/18670","4.16773102594841E-22","1.17761555544298E-19","9.3639898255519301E-20","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/IFITM3/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/CCL4/RPS27A/RPS17","23"
"Cluster2","GO:0006612","protein targeting to membrane","23/131","202/18670","1.5359538967373999E-21","3.9059307594032098E-19","3.1058604585605798E-19","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/RPS17/CHP1/SEC61B","23"
"Cluster2","GO:0090150","establishment of protein localization to membrane","25/131","332/18670","6.2615279727352998E-19","1.4475514213332601E-16","1.15104260627986E-16","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RAB31/RPS27A/RPS17/CHP1/RACK1/SEC61B","25"
"Cluster2","GO:0000956","nuclear-transcribed mRNA catabolic process","21/131","207/18670","1.1253241253216901E-18","2.3847493755775601E-16","1.89626986380963E-16","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/RPS17","21"
"Cluster2","GO:0006402","mRNA catabolic process","24/131","364/18670","7.1408575013081196E-17","1.39686158660204E-14","1.11073581052736E-14","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/PSMB6/RPS27A/PSME2/RPS17/PSMB3","24"
"Cluster2","GO:0006605","protein targeting","25/131","432/18670","3.2252928638125898E-16","5.8585141090538705E-14","4.6584869108150302E-14","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/TSPO/RPS27A/RPS17/CHP1/UBL5/SEC61B","25"
"Cluster2","GO:0006401","RNA catabolic process","24/131","397/18670","5.0871600129474196E-16","8.6244319419501896E-14","6.8578486911382405E-14","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/PSMB6/RPS27A/PSME2/RPS17/PSMB3","24"
"Cluster2","GO:0009205","purine ribonucleoside triphosphate metabolic process","20/131","335/18670","2.2107047195805901E-13","3.5136388136833997E-11","2.7939235304699401E-11","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/RAN/COX7C/COX6C/UQCRB","20"
"Cluster2","GO:0009199","ribonucleoside triphosphate metabolic process","20/131","341/18670","3.0778113845590901E-13","4.5918500932303101E-11","3.6512796858643697E-11","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/RAN/COX7C/COX6C/UQCRB","20"
"Cluster2","GO:0009144","purine nucleoside triphosphate metabolic process","20/131","342/18670","3.2502281430651002E-13","4.5918500932303101E-11","3.6512796858643697E-11","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/RAN/COX7C/COX6C/UQCRB","20"
"Cluster2","GO:0046034","ATP metabolic process","19/131","305/18670","4.3501912553000401E-13","5.8223875590673702E-11","4.6297603332029797E-11","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/COX7C/COX6C/UQCRB","19"
"Cluster2","GO:0009141","nucleoside triphosphate metabolic process","20/131","362/18670","9.3201035463483896E-13","1.1850511659182E-10","9.42311521712382E-11","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/RAN/COX7C/COX6C/UQCRB","20"
"Cluster2","GO:0009167","purine ribonucleoside monophosphate metabolic process","19/131","340/18670","2.9721952012537201E-12","3.5991868556134401E-10","2.8619483617084702E-10","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/COX7C/COX6C/UQCRB","19"
"Cluster2","GO:0009126","purine nucleoside monophosphate metabolic process","19/131","341/18670","3.1294121801144999E-12","3.6173159881959801E-10","2.8763640181817901E-10","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/COX7C/COX6C/UQCRB","19"
"Cluster2","GO:0009161","ribonucleoside monophosphate metabolic process","19/131","354/18670","6.0229247495313697E-12","6.65925984263403E-10","5.2952121024484004E-10","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/COX7C/COX6C/UQCRB","19"
"Cluster2","GO:0009123","nucleoside monophosphate metabolic process","19/131","375/18670","1.63939654373485E-11","1.7370772544657199E-9","1.3812634914538E-9","ALDOA/ENO1/NDUFB2/UQCRQ/TPI1/TSPO/COX4I1/NDUFA4/UQCR10/TREM2/COX5B/COX8A/PGK1/COX7A2/LDHA/GUK1/COX7C/COX6C/UQCRB","19"
"Cluster2","GO:0022900","electron transport chain","14/131","186/18670","5.1387682088343803E-11","5.22715502202633E-9","4.1564520964929903E-9","NDUFB2/UQCRQ/SH3BGRL3/COX4I1/NDUFA4/UQCR10/COX5B/COX8A/COX7A2/AKR1B1/COX7C/COX6C/GLRX/UQCRB","14"
"Cluster2","GO:0036294","cellular response to decreased oxygen levels","14/131","217/18670","3.9860504729536203E-10","3.8986639818157903E-8","3.1000821694509703E-8","NAMPT/ELOB/ENO1/UBA52/PSMB6/EIF4EBP1/RPS27A/PSME2/RBX1/PGK1/PSMB3/VEGFA/ELOC/NOP53","14"
"Cluster2","GO:0006119","oxidative phosphorylation","12/131","145/18670","4.3767474487277501E-10","4.1222476896721001E-8","3.2778681672538098E-8","NDUFB2/UQCRQ/COX4I1/NDUFA4/UQCR10/COX5B/COX8A/PGK1/COX7A2/COX7C/COX6C/UQCRB","12"
"Cluster2","GO:0071453","cellular response to oxygen levels","14/131","234/18670","1.06997086113954E-9","9.7176282138494598E-8","7.7271203919137394E-8","NAMPT/ELOB/ENO1/UBA52/PSMB6/EIF4EBP1/RPS27A/PSME2/RBX1/PGK1/PSMB3/VEGFA/ELOC/NOP53","14"
"Cluster2","GO:0042775","mitochondrial ATP synthesis coupled electron transport","10/131","97/18670","1.5331071185398499E-9","1.3443763456713199E-7","1.0690013701325E-7","NDUFB2/UQCRQ/COX4I1/NDUFA4/UQCR10/COX5B/COX8A/COX7C/COX6C/UQCRB","10"
"Cluster2","GO:0042773","ATP synthesis coupled electron transport","10/131","98/18670","1.6972614263361201E-9","1.4387119357242499E-7","1.14401375438305E-7","NDUFB2/UQCRQ/COX4I1/NDUFA4/UQCR10/COX5B/COX8A/COX7C/COX6C/UQCRB","10"
"Cluster2","GO:0071456","cellular response to hypoxia","13/131","207/18670","2.4176167600618101E-9","1.9832256196248999E-7","1.5769921209095899E-7","ELOB/ENO1/UBA52/PSMB6/EIF4EBP1/RPS27A/PSME2/RBX1/PGK1/PSMB3/VEGFA/ELOC/NOP53","13"
"Cluster2","GO:0042254","ribosome biogenesis","15/131","297/18670","2.7085988712613E-9","2.1524896655054601E-7","1.71158501042531E-7","RPL3/RPS14/RPS2/GLUL/RPS6/RPS15/RPL35/RPLP0/RPLP0P6/RPL10/RPL7/NOP10/RPS17/RAN/NOP53","15"
"Cluster2","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia","9/131","77/18670","3.36864308968143E-9","2.5958967809272402E-7","2.0641669458622101E-7","ELOB/UBA52/PSMB6/RPS27A/PSME2/RBX1/PSMB3/VEGFA/ELOC","9"
"Cluster2","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","6/131","21/18670","5.2929579382004502E-9","3.8457120105267801E-7","3.05797660128814E-7","COX4I1/NDUFA4/COX5B/COX8A/COX7C/COX6C","6"
"Cluster2","GO:0019646","aerobic electron transport chain","6/131","21/18670","5.2929579382004502E-9","3.8457120105267801E-7","3.05797660128814E-7","COX4I1/NDUFA4/COX5B/COX8A/COX7C/COX6C","6"
"Cluster2","GO:0022904","respiratory electron transport chain","10/131","117/18670","9.6609297479504296E-9","6.8243734302883201E-7","5.4265046917581197E-7","NDUFB2/UQCRQ/COX4I1/NDUFA4/UQCR10/COX5B/COX8A/COX7C/COX6C/UQCRB","10"
"Cluster2","GO:0009060","aerobic respiration","9/131","87/18670","1.0097243599962E-8","6.9398082364062896E-7","5.5182944396947201E-7","COX4I1/NDUFA4/UQCR10/COX5B/COX8A/COX7C/COX6C/NOP53/UQCRB","9"
"Cluster2","GO:0036293","response to decreased oxygen levels","15/131","370/18670","5.1147388340300197E-8","3.3787385625691899E-6","2.6866555368484798E-6","NAMPT/ELOB/ENO1/UBA52/PSMB6/EIF4EBP1/RPS27A/PSME2/RBX1/PGK1/PSMB3/VEGFA/LDHA/ELOC/NOP53","15"
"Cluster2","GO:0043312","neutrophil degranulation","17/131","485/18670","5.1817068006369703E-8","3.3787385625691899E-6","2.6866555368484798E-6","FTL/S100A11/ALDOA/CST3/FPR1/CD63/SERPINA1/SLC2A3/RAB31/CD14/VAMP8/S100A8/PPIA/COTL1/S100A9/C3AR1/PLAUR","17"
"Cluster2","GO:0002283","neutrophil activation involved in immune response","17/131","488/18670","5.6639307892343701E-8","3.6008439992557501E-6","2.8632660647682198E-6","FTL/S100A11/ALDOA/CST3/FPR1/CD63/SERPINA1/SLC2A3/RAB31/CD14/VAMP8/S100A8/PPIA/COTL1/S100A9/C3AR1/PLAUR","17"
"Cluster2","GO:0042119","neutrophil activation","17/131","498/18670","7.5834531168705904E-8","4.7035905551711996E-6","3.74013181964272E-6","FTL/S100A11/ALDOA/CST3/FPR1/CD63/SERPINA1/SLC2A3/RAB31/CD14/VAMP8/S100A8/PPIA/COTL1/S100A9/C3AR1/PLAUR","17"
"Cluster2","GO:0002446","neutrophil mediated immunity","17/131","499/18670","7.8049525965350597E-8","4.7257129649973003E-6","3.7577227914646198E-6","FTL/S100A11/ALDOA/CST3/FPR1/CD63/SERPINA1/SLC2A3/RAB31/CD14/VAMP8/S100A8/PPIA/COTL1/S100A9/C3AR1/PLAUR","17"
"Cluster2","GO:0070482","response to oxygen levels","15/131","394/18670","1.16001680815573E-7","6.7526664725248098E-6","5.3694858098475298E-6","NAMPT/ELOB/ENO1/UBA52/PSMB6/EIF4EBP1/RPS27A/PSME2/RBX1/PGK1/PSMB3/VEGFA/LDHA/ELOC/NOP53","15"
"Cluster2","GO:0045333","cellular respiration","11/131","193/18670","1.1683732787695299E-7","6.7526664725248098E-6","5.3694858098475298E-6","NDUFB2/UQCRQ/COX4I1/NDUFA4/UQCR10/COX5B/COX8A/COX7C/COX6C/NOP53/UQCRB","11"
"Cluster2","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","9/131","121/18670","1.8200873758657701E-7","1.0285515992948101E-5","8.1786850269898095E-6","ELOB/UBA52/PSMB6/RPS27A/PSME2/RBX1/PSMB3/VEGFA/ELOC","9"
"Cluster2","GO:0001666","response to hypoxia","14/131","359/18670","2.3542216149168201E-7","1.3014751232029299E-5","1.0348878082963901E-5","ELOB/ENO1/UBA52/PSMB6/EIF4EBP1/RPS27A/PSME2/RBX1/PGK1/PSMB3/VEGFA/LDHA/ELOC/NOP53","14"
"Cluster2","GO:0043620","regulation of DNA-templated transcription in response to stress","9/131","127/18670","2.7561637994387102E-7","1.49126054084524E-5","1.1857985797809099E-5","ELOB/UBA52/PSMB6/RPS27A/PSME2/RBX1/PSMB3/VEGFA/ELOC","9"
"Cluster2","GO:0042255","ribosome assembly","7/131","63/18670","2.8437819264109601E-7","1.50661196642981E-5","1.1980055001393601E-5","RPL3/RPS14/RPS15/RPLP0/RPLP0P6/RPL10/NOP53","7"
"Cluster2","GO:0002181","cytoplasmic translation","8/131","100/18670","5.1317595192349495E-7","2.6632784606968299E-5","2.11774651696033E-5","RPL18A/RPL19/RPLP1/RPL32/RPL8/RPLP0/RPLP0P6/EIF4EBP1","8"
"Cluster2","GO:0042273","ribosomal large subunit biogenesis","7/131","71/18670","6.5249282660880199E-7","3.3185785161323702E-5","2.6388183577168599E-5","RPL3/RPL35/RPLP0/RPLP0P6/RPL10/RPL7/NOP53","7"
"Cluster2","GO:0035722","interleukin-12-mediated signaling pathway","6/131","47/18670","9.02029225193735E-7","4.4977653326817003E-5","3.57646675252253E-5","CFL1/RPLP0/CAPZA1/PPIA/PSME2/SOD2","6"
"Cluster2","GO:0071349","cellular response to interleukin-12","6/131","49/18670","1.1613296769922901E-6","5.6793487857526698E-5","4.5160208694376201E-5","CFL1/RPLP0/CAPZA1/PPIA/PSME2/SOD2","6"
"Cluster2","GO:0070671","response to interleukin-12","6/131","50/18670","1.3121419648219901E-6","6.2958056915892602E-5","5.0062059869375099E-5","CFL1/RPLP0/CAPZA1/PPIA/PSME2/SOD2","6"
"Cluster2","GO:0045862","positive regulation of proteolysis","13/131","363/18670","1.68422707151975E-6","7.93146193124947E-5","6.3068230105057106E-5","RPS3/ENO1/RNF144B/TREM2/S100A8/PSME2/RBX1/S100A9/BCAP31/RACK1/NOP53/LYN/VSIR","13"
"Cluster2","GO:0000027","ribosomal large subunit assembly","5/131","30/18670","1.94983673926345E-6","9.0153360508126202E-5","7.1686820595695294E-5","RPL3/RPLP0/RPLP0P6/RPL10/NOP53","5"
"Cluster2","GO:1902600","proton transmembrane transport","9/131","163/18670","2.2491119393289698E-6","1.02133779673456E-4","8.1213233749077897E-5","COX4I1/NDUFA4/COX5B/COX8A/COX7A2/CHP1/COX7C/COX6C/ATP6V0E1","9"
"Cluster2","GO:0002576","platelet degranulation","8/131","128/18670","3.3463372366889402E-6","1.4929360689298199E-4","1.18713090151052E-4","ALDOA/SRGN/CD63/SERPINA1/PLEK/ANXA5/VEGFA/LYN","8"
"Cluster2","GO:0009152","purine ribonucleotide biosynthetic process","11/131","280/18670","4.5846025083911898E-6","2.0101110653170299E-4","1.5983704933973601E-4","ALDOA/ENO1/TPI1/TREM2/MPC2/COX5B/ACSL1/PGK1/PPT1/LDHA/GUK1","11"
"Cluster2","GO:0015980","energy derivation by oxidation of organic compounds","11/131","285/18670","5.4268124232072598E-6","2.3390481342739101E-4","1.8599298242606899E-4","NDUFB2/UQCRQ/COX4I1/NDUFA4/UQCR10/COX5B/COX8A/COX7C/COX6C/NOP53/UQCRB","11"
"Cluster2","GO:0009260","ribonucleotide biosynthetic process","11/131","293/18670","7.0564506659983302E-6","2.9907590072722901E-4","2.37814767182154E-4","ALDOA/ENO1/TPI1/TREM2/MPC2/COX5B/ACSL1/PGK1/PPT1/LDHA/GUK1","11"
"Cluster2","GO:0048002","antigen processing and presentation of peptide antigen","9/131","189/18670","7.5451589933697197E-6","3.1454654623179002E-4","2.50116487079607E-4","HLA-DPB1/HLA-DRB5/CAPZA1/PSMB6/VAMP8/TREM2/PSME2/BCAP31/PSMB3","9"
"Cluster2","GO:0006164","purine nucleotide biosynthetic process","11/131","300/18670","8.8173963341227801E-6","3.55914902820226E-4","2.8301116721553699E-4","ALDOA/ENO1/TPI1/TREM2/MPC2/COX5B/ACSL1/PGK1/PPT1/LDHA/GUK1","11"
"Cluster2","GO:0046390","ribose phosphate biosynthetic process","11/131","300/18670","8.8173963341227801E-6","3.55914902820226E-4","2.8301116721553699E-4","ALDOA/ENO1/TPI1/TREM2/MPC2/COX5B/ACSL1/PGK1/PPT1/LDHA/GUK1","11"
"Cluster2","GO:0052548","regulation of endopeptidase activity","13/131","425/18670","9.3565128685853504E-6","3.7177519101269597E-4","2.9562271744329699E-4","RPS3/CST3/SERPINA1/S100A8/PSME2/S100A9/BCAP31/VEGFA/RACK1/PLAUR/PEBP1/LYN/VSIR","13"
"Cluster2","GO:0072522","purine-containing compound biosynthetic process","11/131","313/18670","1.3121432350971101E-5","5.1335080720799195E-4","4.08198729493367E-4","ALDOA/ENO1/TPI1/TREM2/MPC2/COX5B/ACSL1/PGK1/PPT1/LDHA/GUK1","11"
"Cluster2","GO:0019674","NAD metabolic process","6/131","76/18670","1.5552661584900602E-5","5.9924876379397504E-4","4.7650180071123001E-4","ALDOA/NAMPT/ENO1/TPI1/PGK1/LDHA","6"
"Cluster2","GO:0097529","myeloid leukocyte migration","9/131","210/18670","1.7553408495577801E-5","6.6182182336723295E-4","5.2625772406749403E-4","AIF1/CCL4/TREM2/S100A8/S100A9/CCL3L3/VEGFA/C3AR1/LYN","9"
"Cluster2","GO:0009165","nucleotide biosynthetic process","12/131","386/18670","1.78787661035879E-5","6.6182182336723295E-4","5.2625772406749403E-4","ALDOA/NAMPT/ENO1/TPI1/TREM2/MPC2/COX5B/ACSL1/PGK1/PPT1/LDHA/GUK1","12"
"Cluster2","GO:0052547","regulation of peptidase activity","13/131","452/18670","1.7957414790538401E-5","6.6182182336723295E-4","5.2625772406749403E-4","RPS3/CST3/SERPINA1/S100A8/PSME2/S100A9/BCAP31/VEGFA/RACK1/PLAUR/PEBP1/LYN/VSIR","13"
"Cluster2","GO:0000715","nucleotide-excision repair, DNA damage recognition","4/131","23/18670","1.8484340151553E-5","6.7150967150570405E-4","5.3396116437794496E-4","UBA52/RPS27A/RBX1/COPS6","4"
"Cluster2","GO:1901293","nucleoside phosphate biosynthetic process","12/131","390/18670","1.9794952521437699E-5","7.0899386284529499E-4","5.6376729123323605E-4","ALDOA/NAMPT/ENO1/TPI1/TREM2/MPC2/COX5B/ACSL1/PGK1/PPT1/LDHA/GUK1","12"
"Cluster2","GO:0006364","rRNA processing","9/131","214/18670","2.0385801866246799E-5","7.20015196470356E-4","5.7253107288099598E-4","RPS14/RPS2/RPS6/RPS15/RPL35/RPL7/NOP10/RPS17/NOP53","9"
"Cluster2","GO:2001242","regulation of intrinsic apoptotic signaling pathway","8/131","165/18670","2.1618658727910701E-5","7.5309930335721795E-4","5.9883840542633701E-4","RPS3/ENO1/S100A8/S100A9/BCAP31/RACK1/PLAUR/SOD2","8"
"Cluster2","GO:0031145","anaphase-promoting complex-dependent catabolic process","6/131","81/18670","2.2436512148925899E-5","7.7102770803673902E-4","6.1309445004390796E-4","UBA52/PSMB6/RPS27A/ANAPC11/PSME2/PSMB3","6"
"Cluster2","GO:0030595","leukocyte chemotaxis","9/131","224/18670","2.9218265611647501E-5","9.9069399267226097E-4","7.8776544898210296E-4","AIF1/CCL4/S100A8/CXCL16/S100A9/CCL3L3/VEGFA/C3AR1/LYN","9"
"Cluster2","GO:0019882","antigen processing and presentation","9/131","226/18670","3.1327569727374002E-5","1.0392198562650999E-3","8.2635153005577696E-4","HLA-DPB1/HLA-DRB5/CAPZA1/PSMB6/VAMP8/TREM2/PSME2/BCAP31/PSMB3","9"
"Cluster2","GO:0010498","proteasomal protein catabolic process","13/131","477/18670","3.14667435833316E-5","1.0392198562650999E-3","8.2635153005577696E-4","UBA52/PSMB6/RNF144B/TREM2/RPS27A/ANAPC11/PSME2/RBX1/BCAP31/PSMB3/RACK1/SEC61B/NOP53","13"
"Cluster2","GO:0006735","NADH regeneration","4/131","27/18670","3.5846560346229502E-5","1.13947253700577E-3","9.0606897927772195E-4","ALDOA/ENO1/TPI1/PGK1","4"
"Cluster2","GO:0061621","canonical glycolysis","4/131","27/18670","3.5846560346229502E-5","1.13947253700577E-3","9.0606897927772195E-4","ALDOA/ENO1/TPI1/PGK1","4"
"Cluster2","GO:0061718","glucose catabolic process to pyruvate","4/131","27/18670","3.5846560346229502E-5","1.13947253700577E-3","9.0606897927772195E-4","ALDOA/ENO1/TPI1/PGK1","4"
"Cluster2","GO:0010950","positive regulation of endopeptidase activity","8/131","178/18670","3.7227670454625799E-5","1.16876501192733E-3","9.2936133779514295E-4","RPS3/S100A8/PSME2/S100A9/BCAP31/RACK1/LYN/VSIR","8"
"Cluster2","GO:0071347","cellular response to interleukin-1","8/131","179/18670","3.8742294394591403E-5","1.19445065291842E-3","9.4978566726257199E-4","UBA52/PSMB6/CCL4/RPS27A/PSME2/RBX1/CCL3L3/PSMB3","8"
