feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type,significance,regulation,abs_log2FC
RPE,9.22013741401238,3.69963861607024,1.08947205322688,3.3958086442992,0.000684261788998912,0.0448064622326091,Gene,padj < 0.05,Up in AD,3.69963861607024
FOXP2,16.0266471556275,5.49018679414565,1.62504307205508,3.37848693893545,0.000728858946678844,0.0459019167752854,Gene,padj < 0.05,Up in AD,5.49018679414565
(GAAA)n#Simple_repeat#Simple_repeat,54.7545653089909,-2.76067719426968,0.820690791626811,-3.36384570466222,0.000768645027750678,0.0473552175792483,TE,padj < 0.05,Down in AD,2.76067719426968
CHDH,15.3285153998596,3.58782426386068,1.06609910777193,3.36537591834119,0.00076439438859187,0.0473552175792483,Gene,padj < 0.05,Up in AD,3.58782426386068
Harlequin-int#LTR#ERV1,164.768754458419,-1.77639465858936,0.528621949937779,-3.36042545868262,0.000778225276779087,0.0474299018148803,TE,padj < 0.05,Down in AD,1.77639465858936
SCOC,11.6753922246532,-5.81052750919654,1.73161663234958,-3.35555076143638,0.000792071188774902,0.0477602074252782,Gene,padj < 0.05,Down in AD,5.81052750919654
QKI,75.0705143179931,1.58764177614036,0.474491879742241,3.3459830271549,0.000819914143764598,0.0488048437630534,Gene,padj < 0.05,Up in AD,1.58764177614036
TBC1D8,7.17105494926435,-4.27574434161735,1.27873692320843,-3.34372478342866,0.000826616972698153,0.0488048437630534,Gene,padj < 0.05,Down in AD,4.27574434161735
EP300,12.0662098321457,3.35890809457128,1.00799613270928,3.33226287837359,0.000861428444033076,0.0493189537452472,Gene,padj < 0.05,Up in AD,3.35890809457128
MARCHF2,27.9263054192614,-1.69663615877591,0.508632278553864,-3.33568322403715,0.000850900613042187,0.0493189537452472,Gene,padj < 0.05,Down in AD,1.69663615877591
PHC3,26.3418926027252,3.16422965385639,0.949010032547474,3.33424257419333,0.000855320306431044,0.0493189537452472,Gene,padj < 0.05,Up in AD,3.16422965385639
TMEM168,4.18869119669856,4.97716182379453,1.49500819364903,3.32918698702662,0.000870999067438184,0.0493682271423963,Gene,padj < 0.05,Up in AD,4.97716182379453
