names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
L1ME3B#LINE#L1,3.2515013,0.22511499,0.0011479719946364511,0.016162923879029123,L1ME3B#LINE#L1,LINE,L1
(CTTTTA)n#Simple_repeat#Simple_repeat,3.2103746,1.4996358,0.0013256208353189256,0.018249380166223877,(CTTTTA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(CCA)n#Simple_repeat#Simple_repeat,3.2018225,0.8598477,0.0013656115160848672,0.018491723152231153,(CCA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
LTR64#LTR#ERV1,3.12425,1.0868337,0.0017825903255049157,0.023496057588304153,LTR64#LTR#ERV1,LTR,ERV1
MER41B#LTR#ERV1,2.9780562,0.49703172,0.0029008269391974425,0.03686281618118596,MER41B#LTR#ERV1,LTR,ERV1
L1P5#LINE#L1,2.9581666,0.5893345,0.003094748711133292,0.03884227766753827,L1P5#LINE#L1,LINE,L1
LTR9A1#LTR#ERV1,2.9389014,0.66201097,0.0032937783527161885,0.04040585523777582,LTR9A1#LTR#ERV1,LTR,ERV1
MER53#DNA#hAT,2.8872614,0.48555535,0.0038861123484533683,0.04674653591974489,MER53#DNA#hAT,DNA,hAT
MER21B#LTR#ERVL,-2.8679163,-0.3744633,0.004131847465092226,0.049224605858166036,MER21B#LTR#ERVL,LTR,ERVL
(TTTA)n#Simple_repeat#Simple_repeat,-2.8846757,-0.120989315,0.0039181697687839965,0.046904467087182336,(TTTA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(AAG)n#Simple_repeat#Simple_repeat,-2.9168909,-0.58408946,0.0035353946954817662,0.042735161245872275,(AAG)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(AAAAT)n#Simple_repeat#Simple_repeat,-2.9181437,-0.2418135,0.0035212201554700984,0.042735161245872275,(AAAAT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MER104#DNA#TcMar-Tc2,-2.9354334,-0.676595,0.0033308219360637923,0.04065899880574422,MER104#DNA#TcMar-Tc2,DNA,TcMar-Tc2
MLT1D#LTR#ERVL-MaLR,-2.948859,-0.16965802,0.0031894946332456523,0.039321232344192665,MLT1D#LTR#ERVL-MaLR,LTR,ERVL-MaLR
Charlie7#DNA#hAT-Charlie,-2.9495926,-0.33382145,0.0031819324679113604,0.039321232344192665,Charlie7#DNA#hAT-Charlie,DNA,hAT-Charlie
LTR26#LTR#ERV1,-2.9538014,-0.98980635,0.0031388585811539015,0.03908588725678074,LTR26#LTR#ERV1,LTR,ERV1
MLT2B3#LTR#ERVL,-2.957284,-0.4115439,0.003103620249464317,0.03884227766753827,MLT2B3#LTR#ERVL,LTR,ERVL
MSTB1#LTR#ERVL-MaLR,-2.962568,-0.2861622,0.003050844844883731,0.03857139553888717,MSTB1#LTR#ERVL-MaLR,LTR,ERVL-MaLR
Tigger16a#DNA#TcMar-Tigger,-2.9840338,-0.6632362,0.0028447538264072024,0.03633659784452087,Tigger16a#DNA#TcMar-Tigger,DNA,TcMar-Tigger
AluSq2#SINE#Alu,-2.984564,-0.09959826,0.0028398282420858865,0.03633659784452087,AluSq2#SINE#Alu,SINE,Alu
UCON80_AMi#Unknown#Unknown,-3.0074897,-0.93038756,0.00263415089506919,0.03399700998948673,UCON80_AMi#Unknown#Unknown,Unknown,Unknown
LTR2B#LTR#ERV1,-3.0168262,-1.5352542,0.002554361724259981,0.03313983430741484,LTR2B#LTR#ERV1,LTR,ERV1
CR1_Mam#LINE#CR1,-3.0827563,-0.5233812,0.0020509307233095592,0.026748454380847834,CR1_Mam#LINE#CR1,LINE,CR1
MER49#LTR#ERV1,-3.0993667,-0.27344096,0.0019393478961474407,0.025427005749488665,MER49#LTR#ERV1,LTR,ERV1
L4_A_Mam#LINE#RTE-X,-3.154326,-0.12917326,0.0016086929602987794,0.02131733238299666,L4_A_Mam#LINE#RTE-X,LINE,RTE-X
ERV3-16A3_I-int#LTR#ERVL,-3.1804729,-0.18481925,0.0014703493957726227,0.01958884840174494,ERV3-16A3_I-int#LTR#ERVL,LTR,ERVL
Tigger3a#DNA#TcMar-Tigger,-3.188593,-0.34078875,0.0014296708704193515,0.019149861712968393,Tigger3a#DNA#TcMar-Tigger,DNA,TcMar-Tigger
Tigger4b#DNA#TcMar-Tigger,-3.1981764,-0.4069631,0.001382996560863082,0.01862535585771042,Tigger4b#DNA#TcMar-Tigger,DNA,TcMar-Tigger
(GT)n#Simple_repeat#Simple_repeat,-3.2057953,-0.13267604,0.0013468976920091341,0.01833853011427821,(GT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
Harlequin-int#LTR#ERV1,-3.2080758,-0.5052141,0.0013362623746779963,0.01829424400249765,Harlequin-int#LTR#ERV1,LTR,ERV1
Tigger4#DNA#TcMar-Tigger,-3.2138863,-0.5968478,0.0013095152151909248,0.018128372643816264,Tigger4#DNA#TcMar-Tigger,DNA,TcMar-Tigger
AluYi6#SINE#Alu,-3.215455,-0.5188109,0.0013023786703289522,0.018128372643816264,AluYi6#SINE#Alu,SINE,Alu
MER44A#DNA#TcMar-Tigger,-3.2393503,-0.51423067,0.0011980229138364637,0.016772320793710493,MER44A#DNA#TcMar-Tigger,DNA,TcMar-Tigger
Charlie1b#DNA#hAT-Charlie,-3.2532263,-0.32026675,0.0011410255043980523,0.01615692114227642,Charlie1b#DNA#hAT-Charlie,DNA,hAT-Charlie
MER21C#LTR#ERVL,-3.3086612,-0.2724877,0.0009374315867847043,0.013350318804899411,MER21C#LTR#ERVL,LTR,ERVL
MER20B#DNA#hAT-Charlie,-3.3128085,-0.29316977,0.0009236419587588625,0.013229969790777233,MER20B#DNA#hAT-Charlie,DNA,hAT-Charlie
L1PA5#LINE#L1,-3.3328254,-0.15030795,0.0008596888413975287,0.012385517145250442,L1PA5#LINE#L1,LINE,L1
L1M2#LINE#L1,-3.362593,-0.14436683,0.0007721416244259663,0.011189280382032424,L1M2#LINE#L1,LINE,L1
MER2B#DNA#TcMar-Tigger,-3.3770826,-0.6556285,0.0007325906568746695,0.010678586163149597,MER2B#DNA#TcMar-Tigger,DNA,TcMar-Tigger
Charlie1#DNA#hAT-Charlie,-3.3811207,-0.53497726,0.0007219080742651277,0.010585137325615303,Charlie1#DNA#hAT-Charlie,DNA,hAT-Charlie
L1MA4#LINE#L1,-3.3983269,-0.1301309,0.0006779936826686341,0.010000406819362352,L1MA4#LINE#L1,LINE,L1
MER44B#DNA#TcMar-Tigger,-3.428886,-0.8817083,0.0006060641252979052,0.009047150014989212,MER44B#DNA#TcMar-Tigger,DNA,TcMar-Tigger
MSTB#LTR#ERVL-MaLR,-3.4406157,-0.18915929,0.0005803921824136459,0.008716435321339483,MSTB#LTR#ERVL-MaLR,LTR,ERVL-MaLR
L1PB3#LINE#L1,-3.492448,-0.22735688,0.00047861440401465483,0.007321027735483423,L1PB3#LINE#L1,LINE,L1
L1ME3C#LINE#L1,-3.544179,-0.4057612,0.0003938377490862987,0.006061676659849989,L1ME3C#LINE#L1,LINE,L1
AluYk2#SINE#Alu,-3.5500984,-0.1507339,0.0003850872405488998,0.0059640386380010865,AluYk2#SINE#Alu,SINE,Alu
SVA_C#Retroposon#SVA,-3.5878406,-0.34121656,0.0003334280173770481,0.005196444195347956,SVA_C#Retroposon#SVA,Retroposon,SVA
SSU-rRNA_Hsa#rRNA#rRNA,-3.595859,-0.2649267,0.0003233229411803576,0.005070849672436241,SSU-rRNA_Hsa#rRNA#rRNA,rRNA,rRNA
L1ME3E#LINE#L1,-3.605399,-0.25188088,0.0003116737729451088,0.0049192841360380865,L1ME3E#LINE#L1,LINE,L1
Charlie18a#DNA#hAT-Charlie,-3.6320941,-0.44848344,0.0002811305278537875,0.004494460954978616,Charlie18a#DNA#hAT-Charlie,DNA,hAT-Charlie
LTR49-int#LTR#ERV1,-3.65486,-0.36634934,0.0002573223152890383,0.004140549982378162,LTR49-int#LTR#ERV1,LTR,ERV1
L1M3#LINE#L1,-3.662025,-0.24641494,0.0002502294301477716,0.004052735476510968,L1M3#LINE#L1,LINE,L1
L1M1#LINE#L1,-3.715161,-0.19659053,0.00020307419519887898,0.0033106437875185663,L1M1#LINE#L1,LINE,L1
L1MB7#LINE#L1,-3.76224,-0.16782854,0.00016839830834045226,0.002763516609719475,L1MB7#LINE#L1,LINE,L1
OldhAT1#DNA#hAT-Ac,-3.8001857,-0.48111016,0.00014458773068872895,0.0024046201117226195,OldhAT1#DNA#hAT-Ac,DNA,hAT-Ac
(AAAAC)n#Simple_repeat#Simple_repeat,-3.8374958,-0.36879238,0.0001242953934448363,0.002095544001456997,(AAAAC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
THE1D#LTR#ERVL-MaLR,-3.8816185,-0.342654,0.00010376355616240847,0.001773283394278953,THE1D#LTR#ERVL-MaLR,LTR,ERVL-MaLR
MIR3#SINE#MIR,-3.8866518,-0.17946221,0.00010163638052709612,0.001748992714903779,MIR3#SINE#MIR,SINE,MIR
MARNA#DNA#TcMar-Mariner,-3.929794,-0.38480917,8.501863717126175e-05,0.001473260020352354,MARNA#DNA#TcMar-Mariner,DNA,TcMar-Mariner
AluYe5#SINE#Alu,-3.930012,-0.19630352,8.494163088997691e-05,0.001473260020352354,AluYe5#SINE#Alu,SINE,Alu
L1MD2#LINE#L1,-3.9989634,-0.22113226,6.362052269744326e-05,0.001118096845704003,L1MD2#LINE#L1,LINE,L1
Charlie4z#DNA#hAT-Charlie,-3.999105,-0.40214133,6.358246757326227e-05,0.001118096845704003,Charlie4z#DNA#hAT-Charlie,DNA,hAT-Charlie
HAL1#LINE#L1,-4.0446877,-0.1970967,5.2392925526632374e-05,0.0009340263989567987,HAL1#LINE#L1,LINE,L1
(GCC)n#Simple_repeat#Simple_repeat,-4.0892425,-2.1206248,4.327840060076779e-05,0.0007771295412224825,(GCC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
Tigger3c#DNA#TcMar-Tigger,-4.1085405,-0.61549544,3.98167501924045e-05,0.0007201891020202799,Tigger3c#DNA#TcMar-Tigger,DNA,TcMar-Tigger
LTR37-int#LTR#ERV1,-4.1114926,-0.23661458,3.931090544184195e-05,0.0007162678212123849,LTR37-int#LTR#ERV1,LTR,ERV1
L1MC5#LINE#L1,-4.1154184,-0.20824733,3.8647753222729574e-05,0.000709400981377214,L1MC5#LINE#L1,LINE,L1
Tigger7#DNA#TcMar-Tigger,-4.134531,-0.6638315,3.5568005563547455e-05,0.000657742670048288,Tigger7#DNA#TcMar-Tigger,DNA,TcMar-Tigger
MER4-int#LTR#ERV1,-4.156382,-0.24512786,3.23327198504369e-05,0.0006069733317377473,MER4-int#LTR#ERV1,LTR,ERV1
MER1A#DNA#hAT-Charlie,-4.2247086,-0.8779386,2.3925007327808498e-05,0.0004560474473716112,MER1A#DNA#hAT-Charlie,DNA,hAT-Charlie
MER103C#DNA#hAT-Charlie,-4.2836623,-0.19165315,1.8384168340655562e-05,0.0003559060089698788,MER103C#DNA#hAT-Charlie,DNA,hAT-Charlie
MER34B-int#LTR#ERV1,-4.2849336,-0.75578207,1.8279380185965892e-05,0.0003559060089698788,MER34B-int#LTR#ERV1,LTR,ERV1
L1MA5#LINE#L1,-4.3132014,-0.25232652,1.6090755346299346e-05,0.00031898313398503824,L1MA5#LINE#L1,LINE,L1
L1ME1#LINE#L1,-4.3504386,-0.17133155,1.3586545400473685e-05,0.0002715117701804338,L1ME1#LINE#L1,LINE,L1
L2a#LINE#L2,-4.413042,-0.13466655,1.0192812018580738e-05,0.00020703105067248416,L2a#LINE#L2,LINE,L2
L1PA13#LINE#L1,-4.4416513,-0.1786798,8.927118453240661e-06,0.0001828214836952922,L1PA13#LINE#L1,LINE,L1
THE1A#LTR#ERVL-MaLR,-4.4446764,-0.5192822,8.802432254200903e-06,0.00018177022604924864,THE1A#LTR#ERVL-MaLR,LTR,ERVL-MaLR
L1ME4c#LINE#L1,-4.4750757,-0.24375565,7.63842878411232e-06,0.00015905904644563303,L1ME4c#LINE#L1,LINE,L1
L1M2a#LINE#L1,-4.5217333,-0.36400235,6.133534736225206e-06,0.00012880422946072933,L1M2a#LINE#L1,LINE,L1
L1P2#LINE#L1,-4.5468993,-0.28016433,5.444197778131968e-06,0.00011530531704453861,L1P2#LINE#L1,LINE,L1
(TTTTTA)n#Simple_repeat#Simple_repeat,-4.551922,-1.0610379,5.3158076448541745e-06,0.00011355664951679866,(TTTTTA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1M6#LINE#L1,-4.5932775,-0.335475,4.363382894350709e-06,9.829511647455508e-05,L1M6#LINE#L1,LINE,L1
LTR79#LTR#ERVL,-4.601721,-0.8283189,4.190148161264477e-06,9.525859764782912e-05,LTR79#LTR#ERVL,LTR,ERVL
L1MEg#LINE#L1,-4.603827,-0.2502461,4.147970969679261e-06,9.517288947097416e-05,L1MEg#LINE#L1,LINE,L1
(TG)n#Simple_repeat#Simple_repeat,-4.620474,-0.24878855,3.828646739893949e-06,8.866716468651594e-05,(TG)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
Charlie2b#DNA#hAT-Charlie,-4.6298904,-0.41083458,3.658594971604562e-06,8.552828622298211e-05,Charlie2b#DNA#hAT-Charlie,DNA,hAT-Charlie
FLAM_A#SINE#Alu,-4.660805,-0.2408435,3.149745515298973e-06,7.504874410491206e-05,FLAM_A#SINE#Alu,SINE,Alu
Alu#SINE#Alu,-4.6689725,-0.2781255,3.027097872833374e-06,7.282668474641846e-05,Alu#SINE#Alu,SINE,Alu
L1ME3F#LINE#L1,-4.6840215,-0.33339623,2.8130044037936876e-06,6.833945992745841e-05,L1ME3F#LINE#L1,LINE,L1
L1MA3#LINE#L1,-4.688049,-0.19811752,2.758221590554194e-06,6.767201090488409e-05,L1MA3#LINE#L1,LINE,L1
MLT1I#LTR#ERVL-MaLR,-4.7952366,-0.40244108,1.6248310504667656e-06,4.0670013566228736e-05,MLT1I#LTR#ERVL-MaLR,LTR,ERVL-MaLR
L1M4a1#LINE#L1,-4.8348017,-0.4634169,1.332784586409849e-06,3.370041025636332e-05,L1M4a1#LINE#L1,LINE,L1
Charlie5#DNA#hAT-Charlie,-4.8508782,-0.64385897,1.2291593445600346e-06,3.140058614247181e-05,Charlie5#DNA#hAT-Charlie,DNA,hAT-Charlie
AluYk4#SINE#Alu,-4.8678412,-0.29955167,1.128239915088861e-06,2.9122692808231225e-05,AluYk4#SINE#Alu,SINE,Alu
L1MC2#LINE#L1,-4.969178,-0.29883254,6.723723499420539e-07,1.753830192796221e-05,L1MC2#LINE#L1,LINE,L1
AluSc5#SINE#Alu,-5.0167255,-0.23531023,5.255955958619886e-07,1.4004579425225888e-05,AluSc5#SINE#Alu,SINE,Alu
L1MCa#LINE#L1,-5.0255246,-0.27097115,5.020579211009229e-07,1.3522820961827032e-05,L1MCa#LINE#L1,LINE,L1
MER58C#DNA#hAT-Charlie,-5.0322356,-0.39994892,4.847926329007866e-07,1.3201276311298341e-05,MER58C#DNA#hAT-Charlie,DNA,hAT-Charlie
MER58A#DNA#hAT-Charlie,-5.0532804,-0.2799556,4.34285801352739e-07,1.1957335730578748e-05,MER58A#DNA#hAT-Charlie,DNA,hAT-Charlie
Tigger3b#DNA#TcMar-Tigger,-5.0572715,-0.29172274,4.2529792347661005e-07,1.1841441060393704e-05,Tigger3b#DNA#TcMar-Tigger,DNA,TcMar-Tigger
LTR8#LTR#ERV1,-5.106231,-0.6408066,3.2864738991611375e-07,9.360784278300344e-06,LTR8#LTR#ERV1,LTR,ERV1
(TTTCTT)n#Simple_repeat#Simple_repeat,-5.2065444,-0.88419926,1.9238969929633523e-07,5.608725586544926e-06,(TTTCTT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1ME3#LINE#L1,-5.2471557,-0.32283488,1.544655124234003e-07,4.611633009460072e-06,L1ME3#LINE#L1,LINE,L1
L1M5#LINE#L1,-5.2720604,-0.19043672,1.3490068232750652e-07,4.076632814726356e-06,L1M5#LINE#L1,LINE,L1
L2b#LINE#L2,-5.3019624,-0.24412055,1.1456457026365537e-07,3.5048272236214567e-06,L2b#LINE#L2,LINE,L2
Tigger19b#DNA#TcMar-Tigger,-5.339944,-0.46777454,9.297523838117273e-08,2.8799080088568255e-06,Tigger19b#DNA#TcMar-Tigger,DNA,TcMar-Tigger
L2#LINE#L2,-5.410911,-0.24034339,6.270493201291608e-08,1.966871158582355e-06,L2#LINE#L2,LINE,L2
L1MC#LINE#L1,-5.4401517,-0.2921833,5.3235165817335525e-08,1.6912402678891977e-06,L1MC#LINE#L1,LINE,L1
Ricksha_0#DNA#MULE-MuDR,-5.480269,-1.1972895,4.2467934331821497e-08,1.3666953412240736e-06,Ricksha_0#DNA#MULE-MuDR,DNA,MULE-MuDR
L1MB8#LINE#L1,-5.489177,-0.28662485,4.0381032935397204e-08,1.3341893281855236e-06,L1MB8#LINE#L1,LINE,L1
L1MC4a#LINE#L1,-5.5036416,-0.3051968,3.720256719691008e-08,1.2457832637019347e-06,L1MC4a#LINE#L1,LINE,L1
Charlie1a#DNA#hAT-Charlie,-5.539517,-0.35293087,3.03306747925801e-08,1.0295809881645685e-06,Charlie1a#DNA#hAT-Charlie,DNA,hAT-Charlie
MER33#DNA#hAT-Charlie,-5.7916274,-0.33056977,6.970774505283647e-09,2.467654174870411e-07,MER33#DNA#hAT-Charlie,DNA,hAT-Charlie
L3#LINE#CR1,-5.822934,-0.29383513,5.782326023602637e-09,2.0766092589112082e-07,L3#LINE#CR1,LINE,CR1
L2c#LINE#L2,-5.8476214,-0.19495851,4.9865199892092075e-09,1.8442681392925994e-07,L2c#LINE#L2,LINE,L2
L1ME3G#LINE#L1,-5.953022,-0.31469712,2.6323558987217228e-09,9.883299874291559e-08,L1ME3G#LINE#L1,LINE,L1
Tigger13a#DNA#TcMar-Tigger,-6.08015,-0.75549805,1.2006993382369941e-09,4.7227507303988435e-08,Tigger13a#DNA#TcMar-Tigger,DNA,TcMar-Tigger
HAL1ME#LINE#L1,-6.2485943,-0.41239345,4.1416372425144005e-10,1.655318884992046e-08,HAL1ME#LINE#L1,LINE,L1
AluSp#SINE#Alu,-6.275758,-0.19562031,3.4793557048166707e-10,1.4134169568091328e-08,AluSp#SINE#Alu,SINE,Alu
(GCT)n#Simple_repeat#Simple_repeat,-6.391367,-1.7812752,1.6440953639911704e-10,6.790113853283534e-09,(GCT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
Tigger15a#DNA#TcMar-Tigger,-6.4091287,-0.5975385,1.4635387365498818e-10,6.146862693509504e-09,Tigger15a#DNA#TcMar-Tigger,DNA,TcMar-Tigger
AluSg4#SINE#Alu,-6.4098873,-0.311298,1.4562713916318764e-10,6.146862693509504e-09,AluSg4#SINE#Alu,SINE,Alu
AluYm1#SINE#Alu,-6.5610414,-0.3300233,5.343321772050194e-11,2.3229388335334002e-09,AluYm1#SINE#Alu,SINE,Alu
MER112#DNA#hAT-Charlie,-6.720545,-0.6531388,1.8104663264540843e-11,8.156973739914948e-10,MER112#DNA#hAT-Charlie,DNA,hAT-Charlie
L1MD3#LINE#L1,-6.903195,-0.46283108,5.08458299398939e-12,2.3772823885105107e-10,L1MD3#LINE#L1,LINE,L1
AluSq10#SINE#Alu,-7.0621133,-0.5036119,1.6398939514789525e-12,7.814725407240086e-11,AluSq10#SINE#Alu,SINE,Alu
(AAT)n#Simple_repeat#Simple_repeat,-7.104863,-0.5703342,1.2044177190768035e-12,5.852053152690822e-11,(AAT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MIRc#SINE#MIR,-7.1852937,-0.29461175,6.706281732254831e-13,3.3914624760260146e-11,MIRc#SINE#MIR,SINE,MIR
AluSg7#SINE#Alu,-7.2357535,-0.35443392,4.629512682536595e-13,2.389985922359517e-11,AluSg7#SINE#Alu,SINE,Alu
Charlie9#DNA#hAT-Charlie,-7.2876625,-1.0267615,3.1537923189365383e-13,1.6627866736861153e-11,Charlie9#DNA#hAT-Charlie,DNA,hAT-Charlie
AluYj4#SINE#Alu,-7.3497105,-0.39446652,1.9863700980751877e-13,1.0700489354413728e-11,AluYj4#SINE#Alu,SINE,Alu
L1MEf#LINE#L1,-7.359312,-0.4543274,1.8486060393500528e-13,1.0179657256687624e-11,L1MEf#LINE#L1,LINE,L1
