names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
FLAM_A#SINE#Alu,4.21085,0.28882167,2.54411870562835e-05,0.002626802563561271,FLAM_A#SINE#Alu,SINE,Alu
MER20#DNA#hAT-Charlie,4.1908736,0.30739132,2.7788245329011848e-05,0.0027017084164813352,MER20#DNA#hAT-Charlie,DNA,hAT-Charlie
L1ME4a#LINE#L1,4.186353,0.24375893,2.8347223094638708e-05,0.0027017084164813352,L1ME4a#LINE#L1,LINE,L1
(AAT)n#Simple_repeat#Simple_repeat,3.9430654,0.38237458,8.044670696516297e-05,0.007383219994802736,(AAT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(TG)n#Simple_repeat#Simple_repeat,3.8937945,0.2833836,9.868822093852552e-05,0.008733907553059509,(TG)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluYk4#SINE#Alu,3.7959132,0.31406033,0.00014710100086905256,0.012569526901845249,AluYk4#SINE#Alu,SINE,Alu
MER112#DNA#hAT-Charlie,3.7736025,0.49599296,0.0001609070300552085,0.013290920682560221,MER112#DNA#hAT-Charlie,DNA,hAT-Charlie
L1MC#LINE#L1,3.6923919,0.30061576,0.00022215482825587086,0.0173042786196444,L1MC#LINE#L1,LINE,L1
AluSq10#SINE#Alu,3.6827242,0.2625225,0.00023075473133620718,0.0173042786196444,AluSq10#SINE#Alu,SINE,Alu
L2a#LINE#L2,3.6759365,0.16803949,0.00023697860408726122,0.0173042786196444,L2a#LINE#L2,LINE,L2
AluSg7#SINE#Alu,3.6754532,0.2345911,0.00023742755168196515,0.0173042786196444,AluSg7#SINE#Alu,SINE,Alu
Tigger15a#DNA#TcMar-Tigger,3.6560032,0.42900732,0.0002561781506124593,0.01813741306336212,Tigger15a#DNA#TcMar-Tigger,DNA,TcMar-Tigger
MER58B#DNA#hAT-Charlie,3.5425034,0.30180314,0.0003963483436000245,0.02728197765113502,MER58B#DNA#hAT-Charlie,DNA,hAT-Charlie
L1ME3A#LINE#L1,3.5143282,0.26245233,0.0004408678476939323,0.029526230448258493,L1ME3A#LINE#L1,LINE,L1
AluYe5#SINE#Alu,3.478413,0.28718796,0.0005043919988626894,0.032048291620044723,AluYe5#SINE#Alu,SINE,Alu
L1MEc#LINE#L1,3.382866,0.25277382,0.0007173362478681634,0.043122959285899216,L1MEc#LINE#L1,LINE,L1
AluSc5#SINE#Alu,3.377719,0.19622426,0.000730897615015241,0.043122959285899216,AluSc5#SINE#Alu,SINE,Alu
MLT1I#LTR#ERVL-MaLR,3.352318,0.47777793,0.0008013788304234806,0.04555831335819411,MLT1I#LTR#ERVL-MaLR,LTR,ERVL-MaLR
Tigger1#DNA#TcMar-Tigger,3.349716,0.25054058,0.0008089450313803636,0.04555831335819411,Tigger1#DNA#TcMar-Tigger,DNA,TcMar-Tigger
Charlie9#DNA#hAT-Charlie,3.3314521,0.47378838,0.0008639414899870307,0.04757437804861916,Charlie9#DNA#hAT-Charlie,DNA,hAT-Charlie
AluSg4#SINE#Alu,3.3180103,0.18651603,0.0009066113520960039,0.048838759358562994,AluSg4#SINE#Alu,SINE,Alu
(TA)n#Simple_repeat#Simple_repeat,-3.427822,-0.24779515,0.000608444235897844,0.03769312041387144,(TA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
SSU-rRNA_Hsa#rRNA#rRNA,-3.4970403,-0.3001099,0.0004704507462268244,0.030678340767107126,SSU-rRNA_Hsa#rRNA#rRNA,rRNA,rRNA
(G)n#Simple_repeat#Simple_repeat,-4.23991,-0.12348719,2.2360942755765882e-05,0.0024091485282081676,(G)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(T)n#Simple_repeat#Simple_repeat,-4.523815,-0.18058443,6.073480867982835e-06,0.0007525042795430733,(T)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1M4c#LINE#L1,-4.581711,-0.24453592,4.611878215378187e-06,0.0006722490716298323,L1M4c#LINE#L1,LINE,L1
L1HS#LINE#L1,-6.58188,-0.3849996,4.645359518328211e-11,2.877800221604327e-08,L1HS#LINE#L1,LINE,L1
